"id","operation","baseCurrency","baseCurrencyAmount","createdAt","quoteCurrency","quoteCurrencyAmount","feeAmount","extraFeeAmount","networkFeeAmount","status"
"81ff018c-e5d1-4a04-877e-eec3def29725","buy","usd",41.17,"2024-02-10T17:55:14.974Z","btc",,3.99,1.65,3.19,"failed"
"c78e77a3-75bb-410b-be57-a7a2c1fb90e7","buy","usd",41.17,"2024-02-10T17:55:54.700Z","btc",,3.99,1.65,3.19,"failed"
"a84f7ad7-b8dd-4445-983c-2f1ac19a95b6","buy","usd",41.17,"2024-02-10T17:56:03.285Z","btc",,3.99,1.65,3.19,"failed"
"7d905145-420d-4a66-89e8-996f5b1740ca","buy","usd",280.78,"2024-02-10T18:01:47.077Z","btc",,12.64,0,6.58,"failed"
"1aac77cf-20ed-4e6f-aa0a-19d86f4d34bf","buy","usd",284.55,"2024-02-10T18:46:55.540Z","btc",,12.81,0,2.64,"failed"
"5f915dcb-5acb-45f9-9245-81f12826188e","buy","usd",284.4,"2024-02-10T18:47:42.774Z","btc",,12.8,0,2.8,"failed"
"9f609950-6e44-4c4f-b893-bb40e27c5c0d","buy","usd",284.4,"2024-02-10T18:47:48.945Z","btc",,12.8,0,2.8,"failed"
"957910c1-805e-4689-8179-5e696d0b8ce3","buy","usd",285.07,"2024-02-10T22:19:32.684Z","btc",,12.83,0,2.1,"failed"
"871a9c6e-f9b1-4954-9270-942c9c4388bc","buy","usd",285.07,"2024-02-10T22:19:46.895Z","btc",,12.83,0,2.1,"failed"
"a03f6404-e682-4fad-8200-caa99db75d4d","buy","usd",94.76,"2024-02-11T05:33:22.398Z","btc",,4.26,0,0.98,"failed"
"c3e6e8f2-8fbc-4dfa-ab67-f0c6ceea0236","buy","usd",94.76,"2024-02-11T05:33:35.437Z","btc",,4.26,0,0.98,"failed"
"cd8562af-a5bf-4661-8994-c4adeda3858a","buy","usd",94.76,"2024-02-11T05:33:58.208Z","btc",,4.26,0,0.98,"failed"
"f132dab2-f89f-4a56-9c9b-82d95e4e8032","buy","usd",94.76,"2024-02-11T05:34:35.151Z","btc",,4.26,0,0.98,"failed"
"cbf5842a-382d-4b0e-b20d-f27928190571","buy","usd",94.76,"2024-02-11T05:36:03.828Z","btc",,4.26,0,0.98,"failed"
"c3e320ca-996f-42e3-9eff-545a7f64335c","buy","usd",94.76,"2024-02-11T05:42:24.586Z","btc",,4.26,0,0.98,"failed"
"0f795105-3e35-4279-b4a7-6e11ac2149aa","buy","usd",94.76,"2024-02-11T05:42:33.768Z","btc",,4.26,0,0.98,"failed"
